本文,Level
御病気なさったそうですね。回復されたのでしょうか？,1
本日は温かい気候ですね。,1
行ってらっしゃいませ。お気を付けて。,1
皆様、御揃いでお出かけになられるのですか？,1
本日はお早いのですね、お散歩ですか？,1
お早うございます。本日も良いお天気ですね。,1
お早うございます。早朝から御精が出ますね。,1
こんにちは、お暑うございます。本日は蒸しますね。,1
こんばんは、お寒うございます。随分ひえますね。,1
生憎の御天気ですね。はっきりとしない生憎の御天気ですね。,1
お寒うございます。本日はやけに冷えますね。,1
お久しぶりに、良いお湿りでございますね。,1
良いお天気ですね。ようやくお布団が干せますね。,1
随分、日が長くなりましたね。,1
日が短くなりましたね、まだ五時前なのに、薄暗いですね。,1
それは良いお考えでございますね。,1
全くもって、御説の通りでございます。,1
さようでございます。仰る通りです。,1
課長の御想像通りでございました。,1
それは正しい御判断だと存じます。,1
御説仰る通りでございます。,1
恐れ入ります、全く仰る通りでございます。,1
仰る通りです、私も同様に存じます。,1
参考になります、その様なお考えもございますね。,1
そちらで結構でございます。,1
御異議がないようでしたら、採決を取らせて頂きたいと存じます。,1
何卒、三分の二の御賛成を頂きたいと存じます。,1
その御考えに賛同いたします。,1
御賛同を頂きました、誠にありがとうございます。,1
御同意頂きまして、誠にありがとうございます。,1
貴殿がこちらの作品で特に意図なさったのは、どの様なところでしょうか？,1
奥様は優秀な方でいらっしゃいますが、御決断力が乏しいと存じます。,1
バラの花束に詩を添えて素晴らしい御考えですね。,1
グループ分けには、さぞ御苦心されたことと存じます。,1
こちらの新製品、随分、工夫された事と存じます。,1
曇らないフロントガラスを、御考案されたそうですね。,1
社長が、ナノ・ウォーターを御考案なさったのでしょうか？,1
宇宙戦争が舞台とは、何とも壮大な御構想でございますね。,1
映画での町興しを御構想なさったのは、先生でございますね。,1
それは素晴らしい御着眼でございますね。,1
人の気が付かないところに御着眼なさるのは、素晴らしいと存じます。,1
この一局は、勝負所の御着想が素晴らしいと存じます。,1
そんな斬新な御着想なさるのは、貴殿しかいらっしゃいません。,1
貴殿はいつも素晴らしい御発想をお持ちで、感銘致します。,1
土に溶ける新物質を御発明されたと存じます。,1
近々、またお目にかからせて頂きます。,1
宜しければ、本日中にお目にかからせて頂けませんでしょうか？,1
次にお目にかかる日を楽しみにしております。,1
またいつでも、お目にかかれます。,1
御子息にお会いできる日が待ち遠しい事と存じます。,1
あれ以来、長い事お目にかかっておりません。,1
翌日、御挨拶に伺います。堅苦しい御挨拶は結構でございます。,1
それでは、会長が一言、御挨拶申し上げます。,1
先生に、御挨拶なさいましたか？,1
あちら様が会釈なさってますが、お知り合いでございますか？,1
今貴殿にお辞儀なさった方は、どなたでございますか？,1
十年ぶりの御再会でございますか？,1
三社祭りで偶然に御再会されたのでございますか？,1
今回が初めての御対面でございますか？,1
十年越しの宿敵と御対面なさった御感想は？,1
お初にお目にかかります。,1
初めてお目にかかります、西方と申します。,1
お目にかかる事ができ光栄でございます。,1
先生には、以前お目にかかった事がございます。,1
いつも、御電話ばかりで大変恐縮です。,1
御噂は、かねがね伺っておりました。,1
申し遅れましたが、叔父の坂本と申します。,1
御挨拶が後回しになりまして、大変恐縮です。,1
御名刺を頂戴できますでしょうか？,1
大変貴重な御名前でいらっしゃいますね、何とお読みすれば宜しいでしょうか？,1
今後とも、宜しくお願い申し上げます。,1
どうぞ、以後お見知り置きを、お願い申し上げます。,1
今後ともお付き合いの程、宜しくお願い申し上げます。,1
貴重な御縁を、宜しくお願い申し上げます。,1
ようやく大使にお目通りが叶いました。,1
実は、貴殿にお会いになって頂きたい方がおります。,1
御二人が御会いになられるのは、お初でございますか？,1
宜しければ私に婿様のお手伝いをさせて頂けませんでしょうか？,1
貴殿の御仲介のおかげで、お目にかかる事ができました。,1
いつぞやお話させて頂いた館長殿に、御引き合わせ存じます。,1
どうぞ、お引き回し下さいませ。存分に、お引き回し下さいませ。,1
お見合いも二十回目となると、退屈なさる事でしょう？,1
よく写っていらっしゃいます、お見合い写真になさったらいかがでしょうか？,1
私、先日御紹介いただいた西方と申し上げます。,1
さようでございますか、そちらの道のエキスパートを御紹介致します。,1
人を御紹介なさる時は、よくお考えになった方が宜しいかと存じます。,1
大変光栄です、一度お目にかかりたいと思っておりました。,1
近々、お目にかかりたいと存じます。（手紙文）,1
奥方様に御目文字を賜りたく存じます。（手紙文）,1
ぜひ一度、奥様の御尊顔を拝したいと存じます。（手紙文）,1
まあ、ふくよかで可愛い赤ちゃんでいらっしゃいますね。,1
お食い初めに、お父様をお呼びになったらいかがでしょうか？,1
ご出産のお祝いに、おくるみをお贈りさせていただきます。,1
何事もなく、お七夜をお迎えすることができました。,1
赤ちゃんが、おしゃぶりを落とされたようですよ。,1
まあ、玉のような赤ちゃんでいらっしゃいますね。,1
三人もお産みになっておられるので、赤ちゃんのあやし方がお上手でいらっしゃいますね。,1
お産がお軽く済まれたようで、よろしかったですね。,1
娘様が、おめでたでいらっしゃるそうですね。,1
ご安産でいらしたそうで、よろしかったです。,1
ご出産おめでとうございます。初めてのお子様でいらしたそうですね。,1
ご予定日より、かなりお早くご出産なされたのですね？,1
奥様のお産にお立会いされて、いががでしたでしょうか？,1
