本文,Level
乗客乗員159人全員が死亡した。,2
"機体の捜索は困難を極め、コックピットボイスレコーダーは4,900メートル（16,100フィート）の深さから回収された。",2
公式の調査は火災の原因を特定できないまま終了し、事故後数年間にわたって陰謀論が唱えられる原因となった。,2
"295便には客室には140人の乗客が搭乗し、また航空運送状によると、貨物室には手荷物と6個の貨物パレット、計47,000キログラム（104,000ポンド）が積み込まれていた。",2
台湾の税関職員が一部の貨物の抜き打ち検査を行っているが、このとき事故の原因となるような疑わしい貨物は発見されなかった。,2
"副操縦士の飛行時間はそれぞれ7,362時間と8,749時間で、ボーイング747での飛行時間はそれぞれ4,096時間、4,254時間。",2
"また、フライトエンジニアの飛行時間はシニアが7,804時間、セカンドは1,595時間で、ボーイング747での経験はそれぞれ4,555時間、1,595時間であった。",2
出発の34分後、乗組員は香港の航空管制官に連絡し、 ウェイポイント ELATO（ 22°19'N 117°30'E ）からISBANまでの飛行ルートについて確認した。,2
位置報告は15:03:25にELATO経由で行われ、15:53:52にウェイポイントSUNEK、16:09:54にADMARKとSUKAR（12°22'N 110°54'E）と続いた。,2
15:55:18、295便はヨハネスブルグの南アフリカ航空基地に定期報告を行っている。,2
台北を出発後、9時間30分は通常通りに飛行していたが、現地時間午前3時45分ごろ、モーリシャスの航空管制官に対し「煙が充満し緊急着陸を要する事態」と通信があった。,2
その後、火災が重要な電気系統を破壊したため、295便は通信不能、機体制御不能に陥った。,2
そして00:07 UTC（現地時間4時07分）に機体が空中分解、モーリシャスの北東約250km沖合のインド洋上に高速で墜落、水深約4000 - 5000mの海底に突入したと推測されている。,2
モーリシャスATCは通信途絶から36分後、16:44 UTC（現地時間4時44分）、正式に緊急事態を宣言した。,2
その後南アフリカ航空の捜索隊が墜落地点を発見、モーリシャス政府・南アフリカ軍・レユニオン島のフランス海軍やディエゴガルシアのアメリカ海軍らによる捜索活動が開始。,2
墜落から12時間後、油膜と極度の損傷を受けた8つの遺体が水中で発見されたが、事故現場からは大きく離れた地点まで漂ってきていたことが後に判明している。,2
うち2つはまだ台湾時間に従って動作しており、南アフリカの調査責任者Rennie Van Zyl（レニー・ファン・セイル）は、停止した時計との比較からおおよその墜落時刻を推定した。,2
墜落直後、当時の南アフリカの政治情勢から、巷ではテロ説が盛んに取り上げられていたが、爆発物の痕跡は見当たらなかった。,2
また血液検査の結果、遺体は煤を吸い込んでいたことが発見された。,2
これは機体が墜落する以前に、すでに乗客が煙の吸入により死亡していたことを示すものだった。,2
墜落地点を発見しブラックボックスを回収するため、米国のサルベージ専門会社 Steadfast Oceaneering による捜索が行われ、多大な費用が投じられた。,2
"捜索区域の大きさはタイタニック号のそれと同程度であり、5000メートル（16,000フィート）は同社がそれまで請け負ってきたサルベージ作業をゆうに超える深水域だったが、幸い残骸は捜索開始から2日以内に発見された。",2
これらの場所はそれぞれが、墜落現場周辺数キロにわたって点在していた。,2
これは機体が空中分解したことを示唆するものである。,2
また残骸の状態などから、尾部から分解が始まったことが推測された。,2
しかし、フライトデータレコーダーは発見されなかった。,2
ファン・セイルは政治状況を考慮し、ワシントンDCの米国運輸安全委員会 （NTSB）にボイスレコーダーを引渡し、自身が立ち会うことで調査の中立性を確保した。,2
ファン・セイルは「南アフリカでCVRの分析を続けていれば、真実を隠蔽したと非難されただろう」と述懐している。,2
CVRの記録開始から約28分後に火災警報が鳴りその14秒後、電気系統のブレーカーが飛び始める。,2
捜査官たちはこの時に約80の回線が切れ、電気系統・昇降舵・方向舵等の操縦系統が失われたと推測している。,2
